"Model","r","Mean"
"gemini-3-flash-preview",0.821309428328307,75.6896896896897
"gemma-3-27b-it",0.721563041832828,76.305
"gpt-5.4",0.813902747797905,68.103
"gemma3-27b",0.746911071876781,NA
"cometkiwi_xxl",0.740068902955732,NA
"xcomet",0.735221991942975,NA
